datetime,open,high,low,close,volume,dividends,stock splits
2025-08-27 00:00:00+00:00,111798.0,111798.0,111669.7265625,111761.859375,702889984,0.0,0.0
2025-08-27 00:15:00+00:00,111736.7109375,111749.640625,111647.1484375,111661.6875,0,0.0,0.0
2025-08-27 00:30:00+00:00,111644.1953125,111774.5625,111636.25,111688.6640625,0,0.0,0.0
2025-08-27 00:45:00+00:00,111628.6484375,111628.6484375,111373.9375,111376.7421875,200577024,0.0,0.0
2025-08-27 01:00:00+00:00,111370.6328125,111464.859375,111329.3359375,111464.859375,0,0.0,0.0
2025-08-27 01:15:00+00:00,111408.9921875,111408.9921875,111226.578125,111266.53125,0,0.0,0.0
2025-08-27 01:30:00+00:00,111270.140625,111365.3203125,111128.421875,111128.421875,1461788672,0.0,0.0
2025-08-27 01:45:00+00:00,111144.2734375,111317.125,111144.2734375,111305.421875,211132416,0.0,0.0
2025-08-27 02:00:00+00:00,111305.6953125,111317.8671875,111153.4296875,111190.6328125,740188160,0.0,0.0
2025-08-27 02:15:00+00:00,111182.0234375,111447.7578125,111182.0234375,111387.6484375,747565056,0.0,0.0
2025-08-27 02:30:00+00:00,111361.6171875,111480.734375,111361.6171875,111376.2265625,2593574912,0.0,0.0
2025-08-27 02:45:00+00:00,111371.9921875,111383.390625,111172.4765625,111172.4765625,1609752576,0.0,0.0
2025-08-27 03:00:00+00:00,111172.3359375,111223.5234375,111034.8671875,111042.84375,0,0.0,0.0
2025-08-27 03:15:00+00:00,111057.0078125,111101.203125,110964.9375,110967.8359375,1441910784,0.0,0.0
2025-08-27 03:30:00+00:00,111055.15625,111207.796875,111054.265625,111163.8671875,2326106112,0.0,0.0
2025-08-27 03:45:00+00:00,111203.4453125,111699.0,111203.4453125,111481.5078125,584925184,0.0,0.0
2025-08-27 04:00:00+00:00,111449.578125,111689.1328125,111440.6640625,111568.9140625,346906624,0.0,0.0
2025-08-27 04:15:00+00:00,111535.1875,111608.921875,111447.4453125,111448.0546875,0,0.0,0.0
2025-08-27 04:30:00+00:00,111453.375,111658.3359375,111453.375,111549.2734375,1105219584,0.0,0.0
2025-08-27 04:45:00+00:00,111575.078125,111684.96875,111558.1796875,111614.9921875,23339008,0.0,0.0
2025-08-27 05:00:00+00:00,111580.609375,111593.6015625,111432.7109375,111593.6015625,809795584,0.0,0.0
2025-08-27 05:15:00+00:00,111589.984375,111645.75,111392.46875,111392.46875,158384128,0.0,0.0
2025-08-27 05:30:00+00:00,111384.8828125,111473.9609375,111347.015625,111398.5390625,54968320,0.0,0.0
2025-08-27 05:45:00+00:00,111409.5078125,111409.5078125,111356.59375,111367.6640625,11800576,0.0,0.0
2025-08-27 06:00:00+00:00,111382.8671875,111382.8671875,111289.0078125,111289.0078125,0,0.0,0.0
2025-08-27 06:15:00+00:00,111289.0625,111334.0859375,111210.3984375,111310.8046875,1847795712,0.0,0.0
2025-08-27 06:30:00+00:00,111284.8046875,111292.890625,111134.8515625,111143.5078125,376229888,0.0,0.0
2025-08-27 06:45:00+00:00,111147.2265625,111147.2265625,111041.0859375,111041.0859375,69890048,0.0,0.0
