Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ADX(H,L,C,14)","Exit_ADX(H,L,C,14)","Entry_PLUS_DI(H,L,C,14)","Exit_PLUS_DI(H,L,C,14)","Entry_MINUS_DI(H,L,C,14)","Exit_MINUS_DI(H,L,C,14)","Entry_EMA(C,12)","Exit_EMA(C,12)","Entry_EMA(C,50)","Exit_EMA(C,50)","Entry_EMA(C,5)","Exit_EMA(C,5)","Entry_EMA(C,7)","Exit_EMA(C,7)","Entry_ATR(H,L,C,50)","Exit_ATR(H,L,C,50)","Entry_double_wma(H,30)","Exit_double_wma(H,30)",Entry_upper_band,Exit_upper_band,Entry_lower_band,Exit_lower_band,Entry_stopDist,Exit_stopDist,PnL_USD
4,544,559,16832.67,16920.84,,,217.66596000000754,135.01404000000002,0.003232790163414408,2023-01-06 16:00:00,2023-01-06 19:45:00,0 days 03:45:00,,29.449623416266313,36.59698931067847,26.884209585400132,43.32951914614349,14.371157587478791,9.093555076978094,16775.461209735626,16857.599769702905,16775.83811645867,16807.893102775044,16799.475471368893,16891.245507900763,16790.047162923867,16878.749466876943,25.839289584135983,25.729694819832687,16758.661162446733,16781.988950846164,16853.16134505568,16880.638190271526,16654.18732410218,16676.05651877378,135.8032239997128,15.553008274500675,3.232790163414408
5,765,824,17032.68,17224.35,,,787.0648499999913,171.28515,0.009241820429902802,2023-01-08 23:15:00,2023-01-09 14:00:00,0 days 14:45:00,,34.22797968379752,41.91149705055087,40.777582585764044,22.941980692327974,6.488513993108683,25.51820626039816,16981.968871145753,17244.62251388107,16953.491147028788,17202.84363487971,17006.08608272858,17240.769717661773,16996.346312460733,17243.194045089294,17.35203137336098,25.41545674140333,16944.909791729537,17228.597283139006,17012.469664867996,17380.529791026343,16880.972914454236,17138.5972278504,107.6006708930882,95.22425141646391,9.241820429902802
5,828,849,17263.78,17237.4,,,-304.4058999999869,172.5059,-0.0035265266355338767,2023-01-09 15:00:00,2023-01-09 20:15:00,0 days 05:15:00,,35.27503677178045,31.19950198570334,30.464074678850178,16.973837738997588,15.974529272747256,27.44850791761583,17247.396797231635,17303.387862301264,17209.765872791984,17270.476364740578,17249.267228180102,17278.07937221662,17248.447920516533,17289.910265608465,27.02643918852776,32.28105866388127,17234.450552680773,17290.3236706058,17389.929641930183,17434.92816871875,17139.06654293233,17175.089609621933,120.94432592011064,137.88653448674052,-3.5265266355338767
2,1055,1080,17901.06,18084.94,,,295.7879999999948,71.97200000000001,0.008261745393848122,2023-01-11 23:45:00,2023-01-12 06:00:00,0 days 06:15:00,,48.13185552190578,68.80493194735469,50.89098483944772,27.36175279397419,5.118100987432734,17.344845187678324,17663.61900823239,18162.888058172713,17519.817666690473,17935.9757155029,17775.57424102057,18141.347543337688,17729.57440020678,18153.584119764793,41.77610963875951,51.4235996015502,17484.74967211724,18009.722670799296,17655.973803872857,18329.952605569593,17316.035809435583,17808.7385581954,298.15086205303174,174.3173127615844,8.261745393848122
4,1095,1101,18163.23,18171.32,,,-112.97819999999942,145.3382,-0.0015550400451902662,2023-01-12 09:45:00,2023-01-12 11:15:00,0 days 01:30:00,,30.36982968686917,28.66355510380361,22.6500103255482,26.783363415381018,18.469051494029785,14.83018423940641,18147.222788304844,18165.44288363847,18028.75093837071,18060.04963571046,18154.208512683235,18174.21310673762,18150.466771430532,18171.624576751186,47.26959628267849,45.72197072070698,18154.72171650022,18159.215429237753,18502.347827639118,18503.54965666234,17979.410080255904,17992.22131448099,118.83730908135124,17.15888838772998,-1.5550400451902662
1,1127,1168,18654.53,18876.12,,,184.05935000000017,37.530649999999994,0.009866737462696831,2023-01-12 17:45:00,2023-01-13 04:00:00,0 days 10:15:00,,36.125461953587774,21.17751473913823,43.619551655445676,23.546459334474733,13.038116679553461,15.064251760075612,18317.763961066357,18835.871441868476,18163.943649977213,18707.41448569175,18500.84090333985,18848.505041148426,18420.54245850307,18843.54938886373,81.54345715609014,79.39067367665889,18167.393498425074,18829.31342876017,18607.60998755752,19318.567501054455,17867.469302358135,18515.877424758328,534.3329459372026,21.287021147538738,9.86673746269683
1,1249,1284,20270.72,21005.84,,,693.843439999999,41.27656,0.034228850282574975,2023-01-14 00:15:00,2023-01-14 09:00:00,0 days 08:45:00,,56.019018519474024,42.293170896873576,43.86710367333061,24.849639379349984,6.954260772968351,19.811136343261175,19942.40440221297,20924.430059972263,19466.65391196455,20559.221552939867,20137.171798552863,20928.939827902672,20068.513078656455,20930.896565335257,105.47339557217087,114.66043667524838,19432.939966333306,20830.784899990515,19904.910975757666,21556.005245922905,19057.97214378818,20428.463878298156,607.296479679756,44.7984328589622,34.228850282574975
3,1407,1417,20911.24,20779.37,,,-520.6818300000078,125.07183,-0.008299871743617442,2023-01-15 15:45:00,2023-01-15 18:15:00,0 days 02:30:00,,26.114205538968395,33.94152496267121,34.146180598623296,21.70634979820273,8.741761262130598,24.521975066046,20816.610721572648,20871.735176889466,20755.577629984957,20802.488070165513,20874.456930831806,20857.638281210042,20853.290082867432,20869.578708060493,79.8707532444931,83.78434032388199,20717.711963405007,20777.947221955175,21028.367415327913,21099.941418775623,20398.06409081607,20444.212163975048,176.61376571194253,51.06411695522201,-8.299871743617443
4,2693,2694,23206.91,23393.44,,,559.7185999999954,186.4014,0.006029654529620742,2023-01-29 01:15:00,2023-01-29 01:30:00,0 days 00:15:00,,30.41541118211095,33.78263710180135,54.37341016884518,46.93528501997673,6.872883253275244,5.932692715056715,23114.18454606927,23149.036154366306,23040.552119980748,23052.323409393266,23207.258874661406,23251.745916440937,23167.735835765146,23210.981876823862,51.59672628091647,53.29619175529813,23015.199787328642,23019.079859306137,23214.054082513252,23223.854246809507,22801.629100767095,22800.181878435462,206.49903421340434,48.874851033692664,6.029654529620742
2,2767,2785,23931.54,23773.85,,,-410.79078000000464,95.41078,-0.008582623182628502,2023-01-29 19:45:00,2023-01-30 00:15:00,0 days 04:30:00,,37.505477746974734,16.286066222187777,35.36602231204743,20.266803371064352,8.250115285331832,21.58371553475079,23735.80230501451,23761.58903430859,23519.496661843532,23647.999557858977,23835.01384380477,23748.38809872864,23799.314356398812,23755.341229385107,73.81848520762607,76.14406352426812,23534.79153731169,23708.02220106483,23853.968593017078,24014.67813693429,23274.486731630815,23440.553832049914,325.3982791980187,40.207295405809326,-8.582623182628502
