Date,NAV,Daily_Return_Pct
2023-01-01,100000.0,
2023-01-02,100000.0,0.0
2023-01-03,100000.0,0.0
2023-01-04,100000.0,0.0
2023-01-05,100000.0,0.0
2023-01-06,100217.66596000001,0.21766596000001304
2023-01-07,100217.66596000001,0.0
2023-01-08,100595.00256000001,0.3765170505473536
2023-01-09,100700.32491000001,0.10469938597315043
2023-01-10,100700.32491000001,0.0
2023-01-11,100750.94279000002,0.0502658556913671
2023-01-12,101057.70018000001,0.3044709870749118
2023-01-13,101067.19406000001,0.009394514206317872
2023-01-14,101761.0375,0.6865169716575803
2023-01-15,101240.35566999999,-0.5116711098783866
2023-01-16,101240.35566999999,0.0
2023-01-17,101240.35566999999,0.0
2023-01-18,101240.35566999999,0.0
2023-01-19,101240.35566999999,0.0
2023-01-20,101240.35566999999,0.0
2023-01-21,101240.35566999999,0.0
2023-01-22,101240.35566999999,0.0
2023-01-23,101240.35566999999,0.0
2023-01-24,101240.35566999999,0.0
2023-01-25,101240.35566999999,0.0
2023-01-26,101240.35566999999,0.0
2023-01-27,101240.35566999999,0.0
2023-01-28,101240.35566999999,0.0
2023-01-29,101380.73118999999,0.13865569621027696
2023-01-30,101389.28348999999,0.008435823947627874
2023-01-31,101389.28348999999,0.0
2023-02-01,101396.26821,0.0068890120923814635
2023-02-02,101561.26332,0.16272305964779576
2023-02-03,101561.26332,0.0
2023-02-04,101561.26332,0.0
2023-02-05,101561.26332,0.0
2023-02-06,101561.26332,0.0
2023-02-07,101451.57084,-0.1080062185268238
2023-02-08,101410.73584,-0.04025073210981445
2023-02-09,101410.73584,0.0
2023-02-10,101410.73584,0.0
2023-02-11,101410.73584,0.0
2023-02-12,101410.73584,0.0
2023-02-13,101410.73584,0.0
2023-02-14,101299.36048999999,-0.1098259953223546
2023-02-15,102926.23950999998,1.6060111457076642
2023-02-16,103296.68529999998,0.35991384875575516
2023-02-17,102465.68118999999,-0.8044828423937722
2023-02-18,101978.47979,-0.47547763733359893
2023-02-19,102420.67744999999,0.4336186035628131
2023-02-20,102420.67744999999,0.0
2023-02-21,102420.67744999999,0.0
2023-02-22,102420.67744999999,0.0
2023-02-23,102420.67744999999,0.0
2023-02-24,102420.67744999999,0.0
2023-02-25,102420.67744999999,0.0
2023-02-26,102420.67744999999,0.0
2023-02-27,102420.67744999999,0.0
2023-02-28,102420.67744999999,0.0
2023-03-01,102420.67744999999,0.0
2023-03-02,102420.67744999999,0.0
2023-03-03,102420.67744999999,0.0
2023-03-04,102420.67744999999,0.0
2023-03-05,102420.67744999999,0.0
2023-03-06,102420.67744999999,0.0
2023-03-07,102420.67744999999,0.0
2023-03-08,102420.67744999999,0.0
2023-03-09,102420.67744999999,0.0
2023-03-10,102420.67744999999,0.0
2023-03-11,102420.67744999999,0.0
2023-03-12,102798.29325,0.36869098057310534
2023-03-13,104164.46824,1.328986062713633
2023-03-14,105479.84632000001,1.262789607843362
2023-03-15,105479.84632000001,0.0
2023-03-16,104803.74668,-0.6409751849172141
2023-03-17,104803.74668,0.0
2023-03-18,104803.74668,0.0
2023-03-19,104803.74668,0.0
2023-03-20,104803.74668,0.0
2023-03-21,104803.74668,0.0
2023-03-22,105137.73763999999,0.3186822709876802
2023-03-23,105137.73763999999,0.0
2023-03-24,105137.73763999999,0.0
2023-03-25,105137.73763999999,0.0
2023-03-26,105550.72112,0.3928023269951897
2023-03-27,105550.72112,0.0
2023-03-28,105550.72112,0.0
2023-03-29,105550.72112,0.0
2023-03-30,105550.72112,0.0
2023-03-31,105550.72112,0.0
2023-04-01,105550.72112,0.0
2023-04-02,105550.72112,0.0
2023-04-03,105550.72112,0.0
2023-04-04,105550.72112,0.0
2023-04-05,105550.72112,0.0
2023-04-06,105550.72112,0.0
2023-04-07,105550.72112,0.0
2023-04-08,105550.72112,0.0
2023-04-09,105508.49358000001,-0.04000687020601079
2023-04-10,105946.67796999999,0.4153072185299811
2023-04-11,106346.51763,0.3773970714902708
2023-04-12,106346.51763,0.0
2023-04-13,106346.51763,0.0
2023-04-14,106346.51763,0.0
2023-04-15,106346.51763,0.0
2023-04-16,106346.51763,0.0
2023-04-17,106346.51763,0.0
2023-04-18,106188.15317000002,-0.14891363020551607
2023-04-19,106188.15317000002,0.0
2023-04-20,106188.15317000002,0.0
2023-04-21,106188.15317000002,0.0
2023-04-22,106052.42457000002,-0.12781896656843816
2023-04-23,106052.42457000002,0.0
2023-04-24,106052.42457000002,0.0
2023-04-25,106052.42457000002,0.0
2023-04-26,106052.42457000002,0.0
2023-04-27,105630.86415000001,-0.397501916348697
2023-04-28,105630.86415000001,0.0
2023-04-29,105630.86415000001,0.0
2023-04-30,105630.86415000001,0.0
2023-05-01,105630.86415000001,0.0
2023-05-02,105630.86415000001,0.0
