timestamp,market_id,whale_strength,book_imbalance,odds_velocity,large_orders_yes,large_orders_no,top_wallet_exposure
2025-10-25 22:32:14.041430,516713,0.0,0.3618479928916001,0.0,0,0,0.0
2025-10-25 22:32:16.556284,516714,0.0,0.7867878597016583,0.0,0,0,0.0
2025-10-25 22:32:19.082915,516715,0.0,-0.9288098925688908,0.0,0,0,0.0
2025-10-25 22:32:21.626170,516716,0.0,0.8191025004365358,0.0,0,0,0.0
2025-10-25 22:32:24.097267,516717,0.0,0.6347701921399801,0.0,0,0,0.0
2025-10-25 22:32:26.635251,516719,0.0,0.1953730268905716,0.0,0,0,0.0
2025-10-25 22:32:29.133666,516720,0.0,-0.3182244342532042,0.0,0,0,0.0
2025-10-25 22:32:31.664827,516721,0.0,0.8114921827477827,0.0,0,0,0.0
2025-10-25 22:32:34.159537,516724,0.0,-0.957423288225963,0.0,0,0,0.0
2025-10-25 22:32:36.738616,516725,0.0,-0.9510510475168908,0.0,0,0,0.0
2025-10-25 22:32:39.283174,516726,0.0,-0.7080052424021306,0.0,0,0,0.0
2025-10-25 22:32:41.888735,516727,0.0,-0.8618198641661775,0.0,0,0,0.0
2025-10-25 22:32:44.427475,516728,0.0,-0.9787123289610716,0.0,0,0,0.0
2025-10-25 22:32:46.990681,516729,0.0,-0.9589984927270708,0.0,0,0,0.0
2025-10-25 22:32:49.603858,516730,0.0,-0.9540884884658272,0.0,0,0,0.0
2025-10-25 22:34:10.432610,516706,0.0,-0.9483258860972502,0.0,0,0,0.0
2025-10-25 22:34:12.982414,516710,0.0,-0.035892810243669,0.0,0,0,0.0
2025-10-25 22:34:15.495308,516711,0.0,-0.8402931328881819,0.0,0,0,0.0
2025-10-25 22:34:18.020961,516712,0.0,-0.2075916699828686,0.0,0,0,0.0
2025-10-25 22:34:20.559002,516713,0.0,0.3618479928916001,0.0,0,0,0.0
2025-10-25 22:34:23.058857,516714,0.0,0.7893792062138445,0.0,0,0,0.0
2025-10-25 22:34:25.608704,516715,0.0,-0.928809881407644,0.0,0,0,0.0
2025-10-25 22:34:28.190766,516716,0.0,0.8191025004365358,0.0,0,0,0.0
2025-10-25 22:34:30.714740,516717,0.0,0.624856948597441,0.0,0,0,0.0
2025-10-25 22:34:33.254209,516719,0.0,0.195393892123248,0.0,0,0,0.0
2025-10-25 22:34:36.104582,516720,0.0,-0.3182244342532042,0.0,0,0,0.0
2025-10-25 22:34:38.614248,516721,0.0,0.8018655147225623,0.0,0,0,0.0
2025-10-25 22:34:41.122554,516724,0.0,-0.9574741162077072,0.0,0,0,0.0
2025-10-25 22:34:43.658624,516725,0.0,-0.951054983884672,0.0,0,0,0.0
2025-10-25 22:34:46.204891,516726,0.0,-0.7079949183715635,0.0,0,0,0.0
2025-10-25 22:34:48.779417,516727,0.0,-0.8619539871814522,0.0,0,0,0.0
2025-10-25 22:34:51.338368,516728,0.0,-0.9787123010488358,0.0,0,0,0.0
2025-10-25 22:34:53.897214,516729,0.0,-0.9589984927270708,0.0,0,0,0.0
2025-10-25 22:34:56.408418,516730,0.0,-0.9540884884658272,0.0,0,0,0.0
2025-10-25 22:36:17.879887,516706,0.0,-0.9483266648319746,0.0,0,0,0.0
2025-10-25 22:36:20.383917,516710,0.0,-0.035892810243669,0.0,0,0,0.0
2025-10-25 22:36:22.922963,516711,0.0,-0.8402931328881819,0.0,0,0,0.0
2025-10-25 22:36:25.472826,516712,0.0,-0.2078505403955647,0.0,0,0,0.0
2025-10-25 22:36:28.013161,516713,0.0,0.3584666226222228,0.0,0,0,0.0
2025-10-25 22:36:30.548236,516714,0.0,0.695854422345463,0.0,0,0,0.0
2025-10-25 22:36:33.072679,516715,0.0,-0.928809881407644,0.0,0,0,0.0
2025-10-25 22:36:35.604639,516716,0.0,0.8191025004365358,0.0,0,0,0.0
2025-10-25 22:36:38.147580,516717,0.0,0.624856948597441,0.0,0,0,0.0
2025-10-25 22:36:40.679837,516719,0.0,0.195393892123248,0.0,0,0,0.0
2025-10-25 22:36:43.179624,516720,0.0,-0.3182244342532042,0.0,0,0,0.0
2025-10-25 22:36:45.665253,516721,0.0,0.8018655147225623,0.0,0,0,0.0
2025-10-25 22:36:48.264432,516724,0.0,-0.957423288225963,0.0,0,0,0.0
2025-10-25 22:36:50.783532,516725,0.0,-0.9510510475168908,0.0,0,0,0.0
2025-10-25 22:36:53.278703,516726,0.0,-0.7080459689231675,0.0,0,0,0.0
2025-10-25 22:36:55.800389,516727,0.0,-0.8619390257271157,0.0,0,0,0.0
2025-10-25 22:36:58.340858,516728,0.0,-0.9787230077493498,0.0,0,0,0.0
2025-10-25 22:37:00.905044,516729,0.0,-0.9590297560807942,0.0,0,0,0.0
2025-10-25 22:37:03.428412,516730,0.0,-0.9540884055477916,0.0,0,0,0.0
2025-10-25 22:38:24.744150,516706,0.0,-0.9483424101108324,0.0,0,0,0.0
2025-10-25 22:38:27.576097,516710,0.0,-0.0388239618239629,0.0,0,0,0.0
2025-10-25 22:38:30.120569,516711,0.0,-0.8402931328881819,0.0,0,0,0.0
2025-10-25 22:38:32.669851,516712,0.0,-0.2075916699828686,0.0,0,0,0.0
2025-10-25 22:38:35.212378,516713,0.0,0.3615887355896812,0.0,0,0,0.0
2025-10-25 22:38:37.794194,516714,0.0,0.6973303942750225,0.0,0,0,0.0
2025-10-25 22:38:40.338138,516715,0.0,-0.9287019192987904,0.0,0,0,0.0
2025-10-25 22:38:42.890588,516716,0.0,0.8191025004365358,0.0,0,0,0.0
2025-10-25 22:38:45.422918,516717,0.0,0.6347845987574335,0.0,0,0,0.0
2025-10-25 22:38:48.004911,516719,0.0,0.195393892123248,0.0,0,0,0.0
2025-10-25 22:38:50.597156,516720,0.0,-0.3182287186425445,0.0,0,0,0.0
2025-10-25 22:38:53.164360,516721,0.0,0.8018655147225623,0.0,0,0,0.0
2025-10-25 22:38:55.687948,516724,0.0,-0.957423288225963,0.0,0,0,0.0
2025-10-25 22:38:58.238270,516725,0.0,-0.951054983884672,0.0,0,0,0.0
2025-10-25 22:39:00.779155,516726,0.0,-0.7080569352461994,0.0,0,0,0.0
2025-10-25 22:39:03.372444,516727,0.0,-0.8619394850050727,0.0,0,0,0.0
2025-10-25 22:39:05.960555,516728,0.0,-0.9787230077493498,0.0,0,0,0.0
2025-10-25 22:39:08.465727,516729,0.0,-0.9590297560807942,0.0,0,0,0.0
2025-10-25 22:39:11.069797,516730,0.0,-0.9540884055477916,0.0,0,0,0.0
2025-10-25 22:40:32.088325,516706,0.0,-0.9483099627220148,0.0,0,0,0.0
2025-10-25 22:40:34.658650,516710,0.0,-0.0376290442449845,0.0,0,0,0.0
2025-10-25 22:40:37.223556,516711,0.0,-0.8402931328881819,0.0,0,0,0.0
2025-10-25 22:40:40.038214,516712,0.0,-0.2075916699828686,0.0,0,0,0.0
2025-10-25 22:40:42.902305,516713,0.0,0.3618993785655145,0.0,0,0,0.0
2025-10-25 22:40:45.454077,516714,0.0,0.7892984369007464,0.0,0,0,0.0
2025-10-25 22:40:48.274838,516715,0.0,-0.9287019192987904,0.0,0,0,0.0
2025-10-25 22:40:51.078172,516716,0.0,0.8214848287868463,0.0,0,0,0.0
2025-10-25 22:40:53.634578,516717,0.0,0.6347845987574335,0.0,0,0,0.0
2025-10-25 22:40:56.172956,516719,0.0,0.1958408784201999,0.0,0,0,0.0
2025-10-25 22:40:58.747314,516720,0.0,-0.3182287186425445,0.0,0,0,0.0
2025-10-25 22:41:01.644358,516721,0.0,0.8114921827477827,0.0,0,0,0.0
2025-10-25 22:41:04.266614,516724,0.0,-0.957423435966854,0.0,0,0,0.0
2025-10-25 22:41:06.847272,516725,0.0,-0.9509603359821632,0.0,0,0,0.0
2025-10-25 22:41:09.438451,516726,0.0,-0.7095981097981839,0.0,0,0,0.0
2025-10-25 22:41:12.018478,516727,0.0,-0.8618049922826682,0.0,0,0,0.0
2025-10-25 22:41:14.565086,516728,0.0,-0.9787229798651108,0.0,0,0,0.0
2025-10-25 22:41:17.133196,516729,0.0,-0.9590297560807942,0.0,0,0,0.0
2025-10-25 22:41:19.682652,516730,0.0,-0.9540883379972356,0.0,0,0,0.0
2025-10-25 22:42:41.081486,516706,0.0,-0.9483417048135048,0.0,0,0,0.0
2025-10-25 22:42:43.683205,516710,0.0,-0.0388239618239629,0.0,0,0,0.0
2025-10-25 22:42:46.282898,516711,0.0,-0.8402931328881819,0.0,0,0,0.0
2025-10-25 22:42:48.883656,516712,0.0,-0.2075916699828686,0.0,0,0,0.0
2025-10-25 22:42:51.408665,516713,0.0,0.3618993785655145,0.0,0,0,0.0
2025-10-25 22:42:53.976372,516714,0.0,0.6954998733553317,0.0,0,0,0.0
2025-10-25 22:42:56.532188,516715,0.0,-0.9287019192987904,0.0,0,0,0.0
2025-10-25 22:42:59.079539,516716,0.0,0.8214893355588142,0.0,0,0,0.0
2025-10-25 22:43:01.932772,516717,0.0,0.634861950317079,0.0,0,0,0.0
2025-10-25 22:43:04.491839,516719,0.0,0.1954187622301491,0.0,0,0,0.0
2025-10-25 22:43:07.032627,516720,0.0,-0.3181705751259221,0.0,0,0,0.0
2025-10-25 22:43:09.617109,516721,0.0,0.8018655147225623,0.0,0,0,0.0
2025-10-25 22:43:12.183135,516724,0.0,-0.957419609147128,0.0,0,0,0.0
2025-10-25 22:43:14.708632,516725,0.0,-0.950840817355918,0.0,0,0,0.0
2025-10-25 22:43:17.294334,516726,0.0,-0.7079876538232605,0.0,0,0,0.0
2025-10-25 22:43:19.863238,516727,0.0,-0.8626850171300506,0.0,0,0,0.0
2025-10-25 22:43:22.414937,516728,0.0,-0.9786451873633596,0.0,0,0,0.0
2025-10-25 22:43:24.976645,516729,0.0,-0.9590297560807942,0.0,0,0,0.0
2025-10-25 22:43:27.505044,516730,0.0,-0.9540883379972356,0.0,0,0,0.0
2025-10-25 22:44:48.541543,516706,0.0,-0.948278183982824,0.0,0,0,0.0
2025-10-25 22:44:51.153902,516710,0.0,-0.0387617968244445,0.0,0,0,0.0
2025-10-25 22:44:53.741653,516711,0.0,-0.8401789799719169,0.0,0,0,0.0
2025-10-25 22:44:56.329268,516712,0.0,-0.2074967575419821,0.0,0,0,0.0
2025-10-25 22:44:58.920246,516713,0.0,0.3631090466168555,0.0,0,0,0.0
2025-10-25 22:45:01.540868,516714,0.0,0.6956772765790847,0.0,0,0,0.0
2025-10-25 22:45:04.146996,516715,0.0,-0.9287019192987904,0.0,0,0,0.0
2025-10-25 22:45:06.725936,516716,0.0,0.8190720269107455,0.0,0,0,0.0
2025-10-25 22:45:09.266477,516717,0.0,0.6249501505184887,0.0,0,0,0.0
2025-10-25 22:45:11.922929,516719,0.0,0.1954678417240762,0.0,0,0,0.0
2025-10-25 22:45:14.461353,516720,0.0,-0.3181810842251475,0.0,0,0,0.0
2025-10-25 22:45:16.978522,516721,0.0,0.8072524652534342,0.0,0,0,0.0
2025-10-25 22:45:19.809105,516724,0.0,-0.957477466586418,0.0,0,0,0.0
2025-10-25 22:45:22.382021,516725,0.0,-0.9516038343126751,0.0,0,0,0.0
2025-10-25 22:45:24.958679,516726,0.0,-0.7082838418014797,0.0,0,0,0.0
2025-10-25 22:45:27.564370,516727,0.0,-0.861653895747315,0.0,0,0,0.0
2025-10-25 22:45:30.152097,516728,0.0,-0.9805421202294262,0.0,0,0,0.0
2025-10-25 22:45:32.838090,516729,0.0,-0.9616995789443212,0.0,0,0,0.0
2025-10-25 22:45:35.408706,516730,0.0,-0.9516953675393724,0.0,0,0,0.0
2025-10-25 22:46:56.272701,516706,0.0,-0.948278183982824,0.0,0,0,0.0
2025-10-25 22:46:58.809595,516710,0.0,-0.0386974938801064,0.0,0,0,0.0
2025-10-25 22:47:01.397161,516711,0.0,-0.8401778844597605,0.0,0,0,0.0
2025-10-25 22:47:04.283210,516712,0.0,-0.2074967575419821,0.0,0,0,0.0
2025-10-25 22:47:06.858645,516713,0.0,0.3630578555930646,0.0,0,0,0.0
2025-10-25 22:47:09.664590,516714,0.0,0.7038170222443765,0.0,0,0,0.0
2025-10-25 22:47:12.215824,516715,0.0,-0.9287019192987904,0.0,0,0,0.0
2025-10-25 22:47:14.776218,516716,0.0,0.8190720269107455,0.0,0,0,0.0
2025-10-25 22:47:17.356138,516717,0.0,0.6171695940339085,0.0,0,0,0.0
2025-10-25 22:47:19.897313,516719,0.0,0.1954176485378665,0.0,0,0,0.0
